OP,NCC,GCC,SLCC
1.0,2.763958E-4,1.0,0.0
0.9997236,0.005527916,0.9944721,5.527916E-4
0.9994472,0.0074626864,0.9925373,5.527916E-4
0.99917084,0.008291874,0.9914317,5.527916E-4
0.9988944,0.008844665,0.99087894,5.527916E-4
0.998618,0.009673853,0.98977333,5.527916E-4
0.9983416,0.010503041,0.9889442,5.527916E-4
0.99806523,0.011608624,0.98783857,5.527916E-4
0.99778885,0.011885019,0.9875622,5.527916E-4
0.99751246,0.012714207,0.9861802,8.291874E-4
0.997236,0.012990602,0.9859038,8.291874E-4
0.9969596,0.013266998,0.9856274,8.291874E-4
0.99668324,0.013543394,0.985351,8.291874E-4
0.99640685,0.014096186,0.98479825,8.291874E-4
0.99613047,0.014372582,0.9845218,8.291874E-4
0.9958541,0.014648978,0.9842454,8.291874E-4
0.9955777,0.014925373,0.98396903,8.291874E-4
0.99530125,0.015201769,0.98369265,8.291874E-4
0.99502486,0.015478165,0.98341626,8.291874E-4
0.9947485,0.01575456,0.9831399,8.291874E-4
0.9944721,0.016030956,0.9828635,8.291874E-4
0.9941957,0.016307352,0.98258704,8.291874E-4
0.9939193,0.016583748,0.98231065,8.291874E-4
0.9936429,0.016860144,0.98203427,8.291874E-4
0.9933665,0.01713654,0.9817579,8.291874E-4
0.9930901,0.017412934,0.9814815,8.291874E-4
0.9928137,0.01768933,0.9812051,8.291874E-4
0.9925373,0.017965727,0.9809287,8.291874E-4
0.99226093,0.018242123,0.9806523,8.291874E-4
0.99198455,0.018518519,0.9803759,8.291874E-4
0.9917081,0.01907131,0.97927034,8.291874E-4
0.9914317,0.019347707,0.9789939,8.291874E-4
0.9911553,0.019624101,0.9787175,8.291874E-4
0.99087894,0.019900497,0.9784411,8.291874E-4
0.99060255,0.020176893,0.97816473,8.291874E-4
0.99032617,0.02045329,0.97788835,8.291874E-4
0.9900498,0.020729685,0.97761196,8.291874E-4
0.98977333,0.021282477,0.9770591,8.291874E-4
0.98949695,0.021558871,0.97678274,8.291874E-4
0.98922056,0.021835268,0.97650635,8.291874E-4
0.9889442,0.022111664,0.97622997,8.291874E-4
0.9886678,0.02238806,0.9759536,8.291874E-4
0.9883914,0.022664456,0.9756772,8.291874E-4
0.98811495,0.022940852,0.97540075,8.291874E-4
0.98783857,0.023217248,0.97512436,8.291874E-4
0.9875622,0.023493642,0.974848,8.291874E-4
0.9872858,0.023770038,0.9745716,8.291874E-4
0.9870094,0.024046434,0.9742952,8.291874E-4
0.986733,0.02432283,0.9740188,8.291874E-4
0.98645663,0.024599226,0.9737424,8.291874E-4
0.9861802,0.024875622,0.973466,8.291874E-4
0.9859038,0.025152018,0.9731896,8.291874E-4
0.9856274,0.025428414,0.9729132,8.291874E-4
0.985351,0.025704809,0.9726368,8.291874E-4
0.98507464,0.025981205,0.97236043,8.291874E-4
0.98479825,0.0262576,0.97208405,8.291874E-4
0.9845218,0.026533997,0.9718076,8.291874E-4
0.9842454,0.026810393,0.9715312,8.291874E-4
0.98396903,0.027363185,0.97097844,8.291874E-4
0.98369265,0.027639579,0.97070205,8.291874E-4
0.98341626,0.027915975,0.97042567,8.291874E-4
0.9831399,0.028192371,0.9701493,8.291874E-4
0.9828635,0.028468767,0.96987283,8.291874E-4
0.98258704,0.028745163,0.96959645,8.291874E-4
0.98231065,0.02902156,0.96932006,8.291874E-4
0.98203427,0.029297955,0.9690437,8.291874E-4
0.9817579,0.029574351,0.9687673,8.291874E-4
0.9814815,0.029850746,0.9684909,8.291874E-4
0.9812051,0.030127142,0.9682145,8.291874E-4
0.9809287,0.030403538,0.96793807,8.291874E-4
0.9806523,0.030679934,0.9676617,8.291874E-4
0.9803759,0.03095633,0.9673853,8.291874E-4
0.9800995,0.031232726,0.9671089,8.291874E-4
0.9798231,0.03150912,0.9668325,8.291874E-4
0.9795467,0.031785518,0.96655613,8.291874E-4
0.97927034,0.032061912,0.9662797,8.291874E-4
0.9789939,0.03233831,0.9660033,8.291874E-4
0.9787175,0.032614704,0.9657269,8.291874E-4
0.9784411,0.0328911,0.9654505,8.291874E-4
0.97816473,0.033167496,0.96517414,8.291874E-4
0.97788835,0.03344389,0.96489775,8.291874E-4
0.97761196,0.03372029,0.96462137,8.291874E-4
0.9773356,0.033996683,0.9643449,8.291874E-4
0.9770591,0.03427308,0.96406853,8.291874E-4
