OP,NCC,GCC,SLCC
1.0,2.0238818E-4,1.0,0.0
0.9997976,4.0477637E-4,0.9997976,0.0
0.9995952,6.071645E-4,0.9995952,0.0
0.9993928,8.0955273E-4,0.9993928,0.0
0.99919045,0.0010119409,0.99919045,0.0
0.99898803,0.001214329,0.99898803,0.0
0.9987857,0.0014167173,0.9987857,0.0
0.99858326,0.0016191055,0.99858326,0.0
0.9983809,0.0020238818,0.99757135,8.0955273E-4
0.9981785,0.00222627,0.99736893,8.0955273E-4
0.9979761,0.002428658,0.9971666,8.0955273E-4
0.9977737,0.0026310463,0.99696416,8.0955273E-4
0.99757135,0.003238211,0.996357,8.0955273E-4
0.99736893,0.0036429872,0.99595225,8.0955273E-4
0.9971666,0.0040477635,0.9955475,8.0955273E-4
0.99696416,0.0042501516,0.99534506,8.0955273E-4
0.9967618,0.00445254,0.9951427,8.0955273E-4
0.9965594,0.004654928,0.9949403,8.0955273E-4
0.996357,0.004857316,0.9947379,8.0955273E-4
0.9961546,0.0052620927,0.99433315,8.0955273E-4
0.99595225,0.0054644807,0.99413073,8.0955273E-4
0.99574983,0.0058692573,0.99372596,8.0955273E-4
0.9955475,0.006274034,0.9933212,8.0955273E-4
0.99534506,0.006476422,0.9931188,8.0955273E-4
0.9951427,0.00667881,0.9929164,8.0955273E-4
0.9949403,0.006881198,0.99271405,8.0955273E-4
0.9947379,0.0070835864,0.99251163,8.0955273E-4
0.9945355,0.0074883625,0.9919045,8.0955273E-4
0.99433315,0.007690751,0.9917021,8.0955273E-4
0.99413073,0.0078931395,0.9914997,8.0955273E-4
0.9939284,0.008095527,0.9912973,8.0955273E-4
0.99372596,0.008500303,0.9908925,8.0955273E-4
0.9935236,0.008702692,0.9906902,8.0955273E-4
0.9933212,0.00890508,0.99048775,8.0955273E-4
0.9931188,0.009107468,0.9902854,8.0955273E-4
0.9929164,0.009309856,0.990083,8.0955273E-4
0.99271405,0.009512245,0.98988056,8.0955273E-4
0.99251163,0.009714632,0.9896782,8.0955273E-4
0.9923093,0.009917021,0.9894758,8.0955273E-4
0.99210685,0.010119409,0.9892734,8.0955273E-4
0.9919045,0.010321797,0.989071,8.0955273E-4
0.9917021,0.010524185,0.98886865,8.0955273E-4
0.9914997,0.010726574,0.98866624,8.0955273E-4
0.9912973,0.010928961,0.9884639,8.0955273E-4
0.99109495,0.01113135,0.98826146,8.0955273E-4
0.9908925,0.011536126,0.9878567,8.0955273E-4
0.9906902,0.011940903,0.98704714,8.0955273E-4
0.99048775,0.012345679,0.98644,8.0955273E-4
0.9902854,0.012548068,0.9862376,8.0955273E-4
0.990083,0.012750455,0.9860352,8.0955273E-4
0.98988056,0.012952844,0.9858328,8.0955273E-4
0.9896782,0.013155232,0.98563045,8.0955273E-4
0.9894758,0.01335762,0.98542804,8.0955273E-4
0.9892734,0.013762396,0.9848209,8.0955273E-4
0.989071,0.013964784,0.9846185,8.0955273E-4
0.98886865,0.014167173,0.9844161,8.0955273E-4
0.98866624,0.01436956,0.9842137,8.0955273E-4
0.9884639,0.014571949,0.98401135,8.0955273E-4
0.98826146,0.014774337,0.98380893,8.0955273E-4
0.9880591,0.014976725,0.9836066,8.0955273E-4
0.9878567,0.015381502,0.9832018,8.0955273E-4
0.9876543,0.01558389,0.9829994,8.0955273E-4
0.9874519,0.015786279,0.982797,8.0955273E-4
0.98724955,0.016191054,0.98239225,8.0955273E-4
0.98704714,0.016393442,0.98218983,8.0955273E-4
0.9868448,0.016595831,0.9819875,8.0955273E-4
0.98664236,0.016798219,0.98178506,8.0955273E-4
0.98644,0.017000606,0.9815827,8.0955273E-4
0.9862376,0.017202996,0.9813803,8.0955273E-4
0.9860352,0.017405383,0.9811779,8.0955273E-4
0.9858328,0.01760777,0.9809755,8.0955273E-4
0.98563045,0.01781016,0.98077315,8.0955273E-4
0.98542804,0.018012548,0.98057073,8.0955273E-4
0.9852257,0.018214935,0.9803684,8.0955273E-4
0.98502326,0.018619712,0.9797612,8.0955273E-4
0.9848209,0.0188221,0.97955877,8.0955273E-4
0.9846185,0.019226877,0.97895163,8.0955273E-4
0.9844161,0.019429265,0.9787492,8.0955273E-4
0.9842137,0.019631654,0.97854686,8.0955273E-4
0.98401135,0.019834042,0.97834444,8.0955273E-4
0.98380893,0.02003643,0.9781421,8.0955273E-4
0.9836066,0.020238819,0.97793967,8.0955273E-4
0.98340416,0.020845983,0.97672534,8.0955273E-4
0.9832018,0.02104837,0.976523,8.0955273E-4
0.9829994,0.021655535,0.9759158,8.0955273E-4
0.982797,0.021857923,0.97571343,8.0955273E-4
