OP,NCC,GCC,SLCC
55.393444,1.0,183.0,0.0
56.316666,1.0,180.0,0.0
57.271187,1.0,177.0,0.0
58.25862,1.0,174.0,0.0
59.2807,1.0,171.0,0.0
60.339287,1.0,168.0,0.0
61.436363,1.0,165.0,0.0
62.574074,1.0,162.0,0.0
63.75472,1.0,159.0,0.0
64.98077,1.0,156.0,0.0
66.254906,1.0,153.0,0.0
67.58,1.0,150.0,0.0
68.95918,1.0,147.0,0.0
70.395836,1.0,144.0,0.0
71.893616,1.0,141.0,0.0
73.45652,1.0,138.0,0.0
75.08889,1.0,135.0,0.0
76.795456,1.0,132.0,0.0
78.5814,1.0,129.0,0.0
80.45238,1.0,126.0,0.0
82.414635,1.0,123.0,0.0
84.475,3.0,118.0,1.0
86.64103,3.0,115.0,1.0
88.92105,3.0,112.0,1.0
91.324326,3.0,109.0,1.0
93.861115,3.0,106.0,1.0
96.542854,3.0,103.0,1.0
99.382355,3.0,100.0,1.0
102.393936,3.0,97.0,1.0
105.59375,3.0,94.0,1.0
109.0,3.0,91.0,1.0
112.63333,3.0,88.0,1.0
116.51724,3.0,85.0,1.0
120.67857,3.0,82.0,1.0
125.14815,3.0,79.0,1.0
129.96153,3.0,76.0,1.0
135.16,3.0,73.0,1.0
140.79167,3.0,70.0,1.0
146.91304,3.0,67.0,1.0
153.59091,3.0,64.0,1.0
160.90475,2.0,62.0,1.0
168.95,2.0,59.0,1.0
177.8421,2.0,56.0,1.0
187.72223,2.0,53.0,1.0
198.76471,2.0,50.0,1.0
211.1875,2.0,47.0,1.0
225.26666,1.0,45.0,0.0
241.35715,1.0,42.0,0.0
259.92307,1.0,39.0,0.0
281.58334,1.0,36.0,0.0
307.18182,1.0,33.0,0.0
337.9,1.0,30.0,0.0
375.44446,1.0,27.0,0.0
422.375,1.0,24.0,0.0
482.7143,1.0,21.0,0.0
563.1667,1.0,18.0,0.0
675.8,1.0,15.0,0.0
844.75,1.0,12.0,0.0
1126.3334,1.0,9.0,0.0
1689.5,1.0,6.0,0.0
3379.0,3.0,1.0,1.0
